iter	RMSE
0	13.86599527
1	12.98319232
2	12.17168931
3	11.45046782
4	10.80447266
5	10.30326906
6	9.781219442
7	9.33992249
8	8.946494363
9	8.532729855
10	8.207948816
11	7.907962881
12	7.662163757
13	7.446135166
14	7.207940751
15	6.988812679
16	6.810381327
17	6.66425545
18	6.522151997
19	6.400821225
20	6.288149442
21	6.182377219
22	6.084974589
23	5.989450013
24	5.913550279
25	5.857080232
26	5.795254794
27	5.753727247
28	5.71409332
29	5.661841299
30	5.618450933
31	5.580782026
32	5.537155441
33	5.495350644
34	5.458039631
35	5.428217143
36	5.406385741
37	5.391196773
38	5.369110036
39	5.349826279
40	5.325952201
41	5.305930594
42	5.284758254
43	5.264430615
44	5.248708141
45	5.235438587
46	5.220137672
47	5.203728445
48	5.187068969
49	5.168432132
50	5.153300537
51	5.142186258
52	5.119323984
53	5.106178769
54	5.091459792
55	5.08332453
56	5.07727353
57	5.055411412
58	5.043207174
59	5.038539886
60	5.019350166
61	5.013689766
62	4.999386739
63	4.98268639
64	4.974238955
65	4.958471598
66	4.941130365
67	4.926117223
68	4.913529104
69	4.897591494
70	4.889041476
71	4.884942699
72	4.870223515
73	4.851877291
74	4.840604731
75	4.83446236
76	4.829855747
77	4.818686924
78	4.80658885
79	4.798434748
80	4.782161015
81	4.772489927
82	4.760808808
83	4.749156811
84	4.73525438
85	4.726224096
86	4.714634109
87	4.704429745
88	4.690455268
89	4.678416014
90	4.663725035
91	4.659535633
92	4.648449702
93	4.640294089
94	4.621873109
95	4.614159717
96	4.610192734
97	4.605622458
98	4.600004011
99	4.583633859
